Val Datasets	Splits	srcc	plcc	krcc
AGIQA-3K	00	0.806024	0.872083	0.618955	@00601
AGIQA-3K	01	0.817420	0.890255	0.630863	@00300
AGIQA-3K	02	0.821660	0.889003	0.633220	@00600
AGIQA-3K	03	0.789397	0.844589	0.600529	@00601
AGIQA-3K	04	0.823198	0.874301	0.635118	@00500
AGIQA-3K	05	0.804892	0.870094	0.621395	@00600
AGIQA-3K	06	0.816898	0.890638	0.631659	@00500
AGIQA-3K	07	0.829930	0.893832	0.644643	@00500
AGIQA-3K	08	0.815208	0.893052	0.624542	@00601
AGIQA-3K	09	0.812477	0.884092	0.621016	@00601
Overall results in AGIQA-3K: [0.81371042 0.88019384 0.626194  ]	[0.0108259  0.01457612 0.01133448]
